,Title,Description
61,Jessica Jones,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
42,Agents of S.H.I.E.L.D.,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
14,The Queen's Gambit,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
117,Nightmare Alley,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychiatrist bent on exposing him.
103,No Time to Die,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
122,She-Hulk: Attorney at Law,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
118,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
98,Stargirl,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.
135,The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future."
112,Raised by Wolves,Androids are tasked with raising human children on a mysterious planet.
62,The Punisher,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
44,Cursed,A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.
145,The Resort,"Exploring love and the weird things we do in the name of it, encased in an elaborate true-crime conspiracy."
9,The 100,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet."
3,Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
91,Mythic Quest: Raven's Banquet,The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.
85,Iron Man Three,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
22,Shadowhunters: The Mortal Instruments,"After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters."
19,Set It Up,Two corporate executive assistants hatch a plan to match-make their two bosses.
46,The Order,"Out to avenge his mother's death, a college student pledges to a secret order and lands in a war between werewolves and practitioners of dark magic."
81,The Flash,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
17,Chilling Adventures of Sabrina,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic."
38,Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
83,Ant-Man and the Wasp,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
57,The Gifted,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity."
125,Avatar: The Way of Water,"Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet."
6,Supernatural,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
86,Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
105,The Matrix Resurrections,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more."
90,Chaos Walking,Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.
41,The Morning Show,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual."
101,Hawkeye,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
70,Venom: Let There Be Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."
144,The Gray Man,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins."
82,Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
76,Doctor Strange in the Multiverse of Madness,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
40,(500) Days of Summer,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
59,The Defenders,"Set a few months after the events of the second season of Daredevil, and a month after the events of Iron Fist, the vigilantes Daredevil, Jessica Jones, Luke Cage, and Iron Fist team up in New York City to fight a common enemy: The Hand."
53,La casa de papel,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
33,New Amsterdam,A new medical director breaks the rules to heal the system at America's oldest public hospital.
152,Luck,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.
32,Loki,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of Avengers: Endgame.
18,The Magicians,"After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real-and more dangerous than they ever imagined."
5,Friends,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
113,House of the Dragon,"House of the Dragon tells the story of an internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
71,Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
79,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
7,Legacies,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world."
93,Wrath of Man,"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week."
39,Fate: The Winx Saga,"A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers."
23,The Secret Circle,"16 year old Cassie Blake moves to Chance Harbor, Washington to live with her grandmother after her mother mysteriously dies. She discovers she's a witch along with 5 other teens."
4,The Witcher,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
56,Runaways,"After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
110,Red Notice,"An Interpol agent successfully tracks down the world's most wanted art thief, with help from a rival thief. But nothing is as it seems, as a series of double-crosses ensue."
69,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization."
148,Uncoupled,"Michael's life seemed to be perfect, until his long time partner blindsided him after 17 years of being in long time relationship. He has to confront the nightmares of losing his soulmate and suddenly finding himself as a single gay man in his mid-40s."
68,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
55,Titans,A team of young superheroes combat evil and other perils.
137,The Lost City,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
140,Blood & Treasure,An antiquities expert teams up with an art thief to catch a terrorist who funds his attacks using stolen artifacts.
52,Teen Wolf,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
115,Peacemaker,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
11,Black Mirror,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
34,Truth Be Told,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.
58,Cloak & Dagger,Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day.
63,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
129,You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
12,Westworld,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
136,Fantastic Beasts: The Secrets of Dumbledore,Professor Albus Dumbledore must assign Newt Scamander and his fellow partners as Grindelwald begins to lead an army to eliminate all Muggles.
96,Dune: Part One,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
1,The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
147,I Am Groot,A series of shorts featuring the seedling Groot along with several new and unusual characters.
16,A Discovery of Witches,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires."
84,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
131,Halo,Aliens threaten human existence in an epic 26th-century showdown.
2,Game of Thrones,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
0,The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
47,The Old Guard,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.
124,Enola Holmes 2,"Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel"
142,The Nevers,"An epic tale following a gang of Victorian women who find themselves with unusual abilities, relentless enemies, and a mission that might change the world."
116,Reacher,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.
133,Charmed,"Follows the lives of three sisters who, after the tragic death of their mother, discover they are powerful witches."
89,Chernobyl,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
